fecha,credito_privado
2014-07-01,87496.89169
2014-08-01,88768.15661
2014-09-01,89674.62721
2014-10-01,91113.03609000001
2014-11-01,94490.00361
2014-12-01,96132.28145000001
2015-01-01,96977.96913
2015-02-01,98206.06359
2015-03-01,99197.2799
2015-04-01,100536.61064
2015-05-01,102077.01495000001
2015-06-01,103462.27233
2015-07-01,105500.28576
2015-08-01,106549.17255
2015-09-01,110960.47297
2015-10-01,113414.25432000001
2015-11-01,116236.89344
2015-12-01,118724.32829
2016-01-01,118817.2857
2016-02-01,120114.50894
2016-03-01,121471.46716
2016-04-01,123353.12508
2016-05-01,125922.02545
2016-06-01,127787.58593
2016-07-01,128548.01886000001
2016-08-01,130353.80468
2016-09-01,132328.76887
2016-10-01,135717.77927
2016-11-01,137996.49839999998
2016-12-01,139532.4981
2017-01-01,141163.641
2017-02-01,141120.7842
2017-03-01,143641.84029
2017-04-01,147864.81793
2017-05-01,150522.8233
2017-06-01,150718.1628
2017-07-01,152029.04264
2017-08-01,153750.83165
2017-09-01,155643.85415
2017-10-01,158092.68084
2017-11-01,161368.95507999999
2017-12-01,161915.82234
2018-01-01,163482.51076
2018-02-01,164143.1972
2018-03-01,166014.55985
2018-04-01,167691.0864
2018-05-01,166574.91277
2018-06-01,163471.84835
2018-07-01,160564.00126
2018-08-01,158554.31407999998
2018-09-01,155670.82338999998
2018-10-01,152967.44988
2018-11-01,151343.06285
2018-12-01,147823.47663
2019-01-01,144473.9974
2019-02-01,141507.21309
2019-03-01,138599.25767
2019-04-01,135433.09672
2019-05-01,131628.97276
2019-06-01,130519.38699
2019-07-01,127036.63808
2019-08-01,126026.49033
2019-09-01,125227.67098
2019-10-01,125833.62604999999
2019-11-01,126167.63680000001
2019-12-01,125673.90063
2020-01-01,125319.87256999999
2020-02-01,125027.08372
2020-03-01,125158.57654000001
2020-04-01,121587.07893
2020-05-01,120413.82065
2020-06-01,120000.73723
2020-07-01,119498.62530000001
2020-08-01,118836.79879
2020-09-01,119446.37959
2020-10-01,120064.34147
2020-11-01,121171.84760000001
2020-12-01,120973.15345
2021-01-01,120469.91223
2021-02-01,121022.57633
2021-03-01,121609.1552
2021-04-01,120601.11643000001
2021-05-01,120878.85657
2021-06-01,122351.87721
2021-07-01,122607.55900000001
2021-08-01,122333.04531000002
2021-09-01,122543.16574
2021-10-01,124349.09704
2021-11-01,127143.36538999999
2021-12-01,127321.91618
2022-01-01,127578.92129999999
2022-02-01,128645.37734
2022-03-01,130215.71359999999
2022-04-01,131624.99731
2022-05-01,134008.21896
2022-06-01,135005.71632
2022-07-01,136265.50404
2022-08-01,137788.73768
2022-09-01,140116.32591
2022-10-01,142875.28152000002
2022-11-01,145806.59386000002
2022-12-01,147070.51035
2023-01-01,150492.10564000002
2023-02-01,153128.55787999998
2023-03-01,156337.12587
2023-04-01,157831.65613
2023-05-01,159309.02302
2023-06-01,160111.44778
2023-07-01,160241.83154
2023-08-01,162182.38413999998
2023-09-01,163529.059
2023-10-01,165798.0636
2023-11-01,170718.65901
2023-12-01,173589.87961
2024-01-01,176325.79387
2024-02-01,178414.58646999998
2024-03-01,182371.53905
2024-04-01,185206.38113
2024-05-01,187696.05562
2024-06-01,189285.38205000001
2024-07-01,191621.9222
2024-08-01,193970.5284
2024-09-01,197251.64763999998
2024-10-01,200544.90698
2024-11-01,206505.59863999998
2024-12-01,209560.83284
2025-01-01,213572.70365
2025-02-01,216375.47278
2025-03-01,215116.73096000002
2025-04-01,216009.91122
2025-05-01,218248.79489
2025-06-01,219542.26915
2025-07-01,219557.53968
2025-08-01,221136.47477
2025-09-01,223697.46957999998
2025-10-01,226637.70017000003
2025-11-01,230431.62362
2025-12-01,235596.79358
2026-01-01,237320.81892
2026-02-01,237872.48947000003
