Uid,Sid,Key,Time,Value,UpdateTime
6173302506,985021106,heart_rate,1775859720,"{""time"":1775859720,""bpm"":110,""type"":0}",1775864419
6173302506,985021106,steps,1775859720,"{""time"":1775859720,""steps"":11,""distance"":7,""calories"":0}",1775862521
6173302506,985021106,calories,1775859660,"{""time"":1775859660,""calories"":1}",1775864419
6173302506,985021106,steps,1775859660,"{""time"":1775859660,""steps"":23,""distance"":15,""calories"":1}",1775862521
6173302506,hlth.gen_150127125725276,steps,1775859660,"{""time"":1775859660,""steps"":16,""distance"":9,""calories"":0.64}",1775863567
6173302506,hlth.gen_150127125725276,calories,1775859660,"{""time"":1775859660,""calories"":0.64}",1775863567
6173302506,985021106,steps,1775859600,"{""time"":1775859600,""steps"":4,""distance"":2,""calories"":0}",1775862521
6173302506,hlth.gen_150127125725276,calories,1775859600,"{""time"":1775859600,""calories"":0.08}",1775863567
6173302506,hlth.gen_150127125725276,steps,1775859600,"{""time"":1775859600,""steps"":2,""distance"":1,""calories"":0.08}",1775863567
6173302506,985021106,calories,1775859480,"{""time"":1775859480,""calories"":1}",1775864419
6173302506,985021106,calories,1775859300,"{""time"":1775859300,""calories"":1}",1775864419
6173302506,985021106,calories,1775859240,"{""time"":1775859240,""calories"":1}",1775864419
6173302506,985021106,heart_rate,1775859120,"{""time"":1775859120,""bpm"":111,""type"":0}",1775864419
6173302506,985021106,calories,1775859060,"{""time"":1775859060,""calories"":1}",1775864419
6173302506,985021106,calories,1775859000,"{""time"":1775859000,""calories"":2}",1775864419
6173302506,985021106,calories,1775858880,"{""time"":1775858880,""calories"":1}",1775864419
6173302506,985021106,calories,1775858760,"{""time"":1775858760,""calories"":1}",1775864419
6173302506,985021106,light_sensitivity_value,1775858760,"{""light_sensitivity_value"":0,""time"":1775858760}",1775859673
6173302506,985021106,body_momentum,1775858760,"{""body_momentum"":0,""time"":1775858760}",1775859686
6173302506,985021106,light_sensitivity_value,1775858700,"{""light_sensitivity_value"":0,""time"":1775858700}",1775859673
6173302506,985021106,body_momentum,1775858700,"{""body_momentum"":0,""time"":1775858700}",1775859686
6173302506,985021106,body_momentum,1775858640,"{""body_momentum"":0,""time"":1775858640}",1775859686
