horizon,respuesta,impulso,puntual,inferior,superior
20,d_apalancamiento,dlog_remesas,-0.004988373658246814,-0.014182325880368774,0.00770843635031672
21,d_apalancamiento,dlog_remesas,-0.008478085890620336,-0.01636479740263357,0.0053985933809589624
22,d_apalancamiento,dlog_remesas,0.009795625909627745,-0.00383303236410483,0.017514286991146127
23,d_apalancamiento,dlog_remesas,8.398935354653548e-4,-0.009690517997086692,0.010486969686258268
24,d_apalancamiento,dlog_remesas,-0.01011604419349383,-0.017441171982135163,0.0026017009655746586
0,roa,dlog_remesas,3.2727645344398347e-4,4.212711404842438e-5,5.149240150502057e-4
1,roa,dlog_remesas,-5.857888010676551e-5,-3.1533327566660635e-4,2.3534584905740991e-4
2,roa,dlog_remesas,-9.911945310034321e-5,-3.5233015157529765e-4,2.1129064390145794e-4
3,roa,dlog_remesas,4.1039610616585064e-5,-2.398357568684448e-4,3.3585968836493795e-4
4,roa,dlog_remesas,1.7795939675848186e-4,-1.2841020046284687e-4,4.4359146174422853e-4
5,roa,dlog_remesas,-1.3340190796382722e-5,-2.867239526919051e-4,2.735912616142845e-4
6,roa,dlog_remesas,1.6142096465246743e-4,-1.471336142432849e-4,4.302817922735775e-4
7,roa,dlog_remesas,3.74833191332522e-4,-4.8810152522403695e-6,5.901908194094285e-4
8,roa,dlog_remesas,3.6333851881046404e-4,-1.3511805866502401e-5,5.829731375022715e-4
9,roa,dlog_remesas,2.575456438474531e-4,-8.075755750036692e-5,5.08697056361931e-4
10,roa,dlog_remesas,1.2727176184781225e-4,-2.49097757871499e-4,3.906216898983771e-4
11,roa,dlog_remesas,3.316378535264643e-4,-4.541609165158003e-5,5.670900215562859e-4
12,roa,dlog_remesas,9.906446789380205e-4,4.094041794931712e-4,0.0011465613853976504
13,roa,dlog_remesas,1.0923451200394398e-4,-3.39140334701211e-4,4.234339197977559e-4
14,roa,dlog_remesas,1.3346427585728086e-4,-2.8151199400916856e-4,4.340754939268664e-4
15,roa,dlog_remesas,2.4783105308547114e-4,-1.8116563067119732e-4,5.391924103301106e-4
16,roa,dlog_remesas,2.904104888541771e-4,-1.770595407787331e-4,5.766599455449559e-4
17,roa,dlog_remesas,1.4947518582568992e-4,-3.017659535138592e-4,4.6574836789613813e-4
